 ,Value
1,308.600
2,311.000
3,312.200
4,314.600
5,316.100
6,318.500
7,321.000
8,320.700
9,322.700
10,323.700
11,324.800
12,325.900
13,326.700
14,328.700
15,330.000
16,331.000
17,331.500
18,331.200
19,333.400
20,334.600
21,333.800
22,333.700
23,336.100
24,335.000
25,336.500
26,337.200
27,336.600
28,335.400
29,335.400
30,336.100
31,334.200
32,335.600
33,332.500
34,331.100
35,328.100
36,325.000
37,322.500
38,317.000
39,313.900
40,307.400
41,303.600
42,295.900
43,289.200
44,284.800
45,278.600
46,273.200
47,267.200
48,261.800
49,256.000
50,253.800
51,250.200
52,248.300
53,246.600
54,247.300
55,248.500
56,250.000
57,251.700
58,253.000
59,258.100
60,262.200
61,266.000
62,271.300
63,276.500
64,280.300
65,285.600
66,290.500
67,295.600
68,301.300
69,305.600
70,309.000
71,312.700
72,316.200
73,318.700
74,322.000
75,325.400
76,326.900
77,327.300
78,328.600
79,329.100
80,330.500
81,330.500
82,328.800
83,329.500
84,330.000
85,328.600
86,327.600
87,327.700
88,327.300
89,328.000
90,327.800
91,324.900
92,325.000
93,325.100
94,321.800
95,321.000
96,320.800
97,319.300
98,317.600
99,316.500
100,315.200
101,314.600
102,312.800
103,310.900
104,309.500
105,309.300
106,307.500
107,306.100
108,304.600
109,303.000
110,302.300
111,300.600
112,298.000
113,297.800
114,295.000
115,294.200
116,292.000
117,291.900
118,290.800
119,287.400
120,286.100
