Profile Data, Central ROI Mean
1738.800,1755.675
1763.200,1755.675
1751.000,1755.675
1743.900,1755.675
1742.900,1755.675
1745.000,1755.675
1748.700,1755.675
1741.200,1755.675
1735.900,1755.675
1736.700,1755.675
1731.400,1755.675
1732.800,1755.675
1752.300,1755.675
1736.300,1755.675
1739.900,1755.675
1747.600,1755.675
1749.700,1755.675
1752.900,1755.675
1745.500,1755.675
1745.200,1755.675
1750.800,1755.675
1732.000,1755.675
1757.900,1755.675
1736.800,1755.675
1741.900,1755.675
1733.500,1755.675
1755.600,1755.675
1760.600,1755.675
1739.800,1755.675
1749.300,1755.675
1746.000,1755.675
1748.800,1755.675
1756.300,1755.675
1748.600,1755.675
1754.100,1755.675
1737.200,1755.675
1750.300,1755.675
1738.500,1755.675
1759.200,1755.675
1761.800,1755.675
1744.000,1755.675
1737.100,1755.675
1752.200,1755.675
1732.300,1755.675
1749.100,1755.675
1754.700,1755.675
1754.900,1755.675
1741.900,1755.675
1760.700,1755.675
1740.400,1755.675
1753.100,1755.675
1744.500,1755.675
1774.700,1755.675
1736.100,1755.675
1771.200,1755.675
1739.600,1755.675
1748.400,1755.675
1755.800,1755.675
1765.800,1755.675
1762.400,1755.675
1764.600,1755.675
1761.800,1755.675
1759.200,1755.675
1750.600,1755.675
1759.700,1755.675
1766.600,1755.675
1751.000,1755.675
1759.200,1755.675
1756.000,1755.675
1764.100,1755.675
1760.500,1755.675
1741.500,1755.675
1749.200,1755.675
1746.100,1755.675
1745.700,1755.675
1771.000,1755.675
1753.800,1755.675
1757.000,1755.675
1746.300,1755.675
1739.000,1755.675
1769.800,1755.675
1765.100,1755.675
1765.300,1755.675
1747.000,1755.675
1771.300,1755.675
1756.900,1755.675
1755.000,1755.675
1740.200,1755.675
1753.800,1755.675
1749.000,1755.675
1762.200,1755.675
1745.200,1755.675
1764.700,1755.675
1763.500,1755.675
1753.900,1755.675
1767.800,1755.675
1768.500,1755.675
1762.000,1755.675
1759.100,1755.675
1761.100,1755.675
1769.000,1755.675
1750.700,1755.675
1780.600,1755.675
1763.600,1755.675
1780.000,1755.675
1773.600,1755.675
1773.600,1755.675
1761.800,1755.675
1760.900,1755.675
1767.200,1755.675
1783.100,1755.675
1763.900,1755.675
1758.400,1755.675
1773.500,1755.675
1777.900,1755.675
1774.600,1755.675
1774.000,1755.675
1754.600,1755.675
1777.400,1755.675
1770.400,1755.675
1771.800,1755.675
1779.000,1755.675
1775.900,1755.675
1770.200,1755.675
1759.800,1755.675
1763.700,1755.675
1777.200,1755.675
1785.600,1755.675
1788.900,1755.675
1777.000,1755.675
1776.300,1755.675
1770.600,1755.675
1776.400,1755.675
1780.600,1755.675
1779.000,1755.675
1772.300,1755.675
1786.200,1755.675
1773.000,1755.675
1779.600,1755.675
1776.900,1755.675
1773.800,1755.675
1776.300,1755.675
1791.700,1755.675
1774.100,1755.675
1792.100,1755.675
1778.400,1755.675
1777.500,1755.675
1780.400,1755.675
1787.500,1755.675
1793.400,1755.675
1802.900,1755.675
1795.000,1755.675
1783.900,1755.675
1780.500,1755.675
1783.800,1755.675
1809.900,1755.675
1788.000,1755.675
1837.200,1755.675
1822.600,1755.675
1948.300,1755.675
