Profile Data, Central ROI Mean
1646.000,1755.675
1647.600,1755.675
1654.900,1755.675
1660.800,1755.675
1671.000,1755.675
1670.100,1755.675
1670.500,1755.675
1670.000,1755.675
1679.300,1755.675
1685.600,1755.675
1671.500,1755.675
1668.800,1755.675
1672.000,1755.675
1684.100,1755.675
1695.600,1755.675
1689.500,1755.675
1694.600,1755.675
1699.000,1755.675
1706.700,1755.675
1717.700,1755.675
1706.600,1755.675
1711.200,1755.675
1736.700,1755.675
1718.800,1755.675
1717.300,1755.675
1699.900,1755.675
1722.100,1755.675
1726.000,1755.675
1720.400,1755.675
1727.800,1755.675
1724.600,1755.675
1735.100,1755.675
1727.400,1755.675
1718.400,1755.675
1728.400,1755.675
1728.800,1755.675
1756.100,1755.675
1745.900,1755.675
1731.500,1755.675
1745.800,1755.675
1737.800,1755.675
1742.800,1755.675
1753.600,1755.675
1746.900,1755.675
1744.400,1755.675
1741.100,1755.675
1733.400,1755.675
1735.500,1755.675
1750.500,1755.675
1752.000,1755.675
1765.600,1755.675
1765.500,1755.675
1739.700,1755.675
1735.800,1755.675
1753.500,1755.675
1749.700,1755.675
1774.000,1755.675
1739.600,1755.675
1762.500,1755.675
1760.400,1755.675
1751.000,1755.675
1767.000,1755.675
1755.200,1755.675
1753.700,1755.675
1757.800,1755.675
1765.500,1755.675
1750.900,1755.675
1768.700,1755.675
1771.500,1755.675
1760.400,1755.675
1766.300,1755.675
1753.500,1755.675
1752.500,1755.675
1748.800,1755.675
1762.900,1755.675
1764.300,1755.675
1759.700,1755.675
1770.300,1755.675
1744.200,1755.675
1747.900,1755.675
1753.400,1755.675
1765.500,1755.675
1774.500,1755.675
1747.000,1755.675
1758.800,1755.675
1757.000,1755.675
1732.300,1755.675
1764.300,1755.675
1771.800,1755.675
1763.600,1755.675
1757.900,1755.675
1738.000,1755.675
1748.900,1755.675
1764.100,1755.675
1740.400,1755.675
1756.500,1755.675
1762.400,1755.675
1739.100,1755.675
1745.300,1755.675
1720.600,1755.675
1744.700,1755.675
1753.200,1755.675
1744.100,1755.675
1751.800,1755.675
1752.700,1755.675
1738.300,1755.675
1746.400,1755.675
1745.500,1755.675
1776.900,1755.675
1760.500,1755.675
1732.500,1755.675
1721.000,1755.675
1742.100,1755.675
1733.600,1755.675
1738.900,1755.675
1739.400,1755.675
1726.400,1755.675
1739.700,1755.675
1732.800,1755.675
1730.000,1755.675
1735.700,1755.675
1742.300,1755.675
1726.400,1755.675
1733.400,1755.675
1746.700,1755.675
1745.300,1755.675
1731.600,1755.675
1728.200,1755.675
1720.000,1755.675
1719.100,1755.675
1714.400,1755.675
1718.600,1755.675
1730.200,1755.675
1713.600,1755.675
1719.500,1755.675
1705.800,1755.675
1708.300,1755.675
1713.600,1755.675
1705.100,1755.675
1702.500,1755.675
1723.000,1755.675
1718.500,1755.675
1692.900,1755.675
1700.700,1755.675
1703.300,1755.675
1693.100,1755.675
1695.200,1755.675
1695.300,1755.675
1689.500,1755.675
1683.100,1755.675
1685.300,1755.675
1676.400,1755.675
1658.900,1755.675
1671.300,1755.675
1674.900,1755.675
1656.800,1755.675
1657.700,1755.675
1665.400,1755.675
1657.800,1755.675
1647.700,1755.675
