 ,Value
1,2517.900
2,2567.200
3,2574.800
4,2591.000
5,2638.200
6,2659.500
7,2684.400
8,2712.600
9,2732.200
10,2730.000
11,2736.400
12,2752.500
13,2773.400
14,2782.800
15,2814.400
16,2831.800
17,2832.800
18,2850.700
19,2868.900
20,2858.900
21,2875.100
22,2898.100
23,2911.700
24,2914.500
25,2921.700
26,2929.100
27,2939.100
28,2939.400
29,2928.300
30,2948.300
31,2967.400
32,2959.700
33,2955.200
34,2956.400
35,2949.100
36,2938.100
37,2947.100
38,2923.000
39,2918.400
40,2898.500
41,2870.400
42,2848.700
43,2811.200
44,2778.100
45,2732.500
46,2692.500
47,2646.800
48,2610.600
49,2586.000
50,2525.700
51,2479.700
52,2431.600
53,2387.600
54,2356.800
55,2316.200
56,2290.600
57,2265.200
58,2247.600
59,2243.000
60,2247.400
61,2253.000
62,2239.500
63,2287.200
64,2302.400
65,2326.400
66,2363.400
67,2409.200
68,2445.000
69,2491.200
70,2549.800
71,2590.400
72,2646.400
73,2693.200
74,2744.900
75,2768.500
76,2830.300
77,2872.300
78,2905.800
79,2923.000
80,2952.100
81,2975.100
82,2993.300
83,2988.000
84,3002.500
85,2995.600
86,2991.200
87,3000.800
88,3000.300
89,2984.100
90,3000.500
91,2998.700
92,2991.400
93,2978.000
94,2972.300
95,2975.000
96,2967.000
97,2975.800
98,2960.300
99,2948.500
100,2948.200
101,2940.700
102,2943.100
103,2919.200
104,2928.000
105,2898.700
106,2899.400
107,2885.800
108,2865.500
109,2857.800
110,2837.400
111,2839.700
112,2820.700
113,2807.300
114,2787.600
115,2764.500
116,2748.300
117,2746.000
118,2730.100
119,2686.200
120,2685.100
