Profile Data, Central ROI Mean
1837.000,1753.507
1760.500,1753.507
1768.800,1753.507
1765.900,1753.507
1761.400,1753.507
1761.700,1753.507
1753.700,1753.507
1761.600,1753.507
1753.100,1753.507
1762.500,1753.507
1763.900,1753.507
1756.300,1753.507
1757.000,1753.507
1766.200,1753.507
1759.000,1753.507
1760.000,1753.507
1763.100,1753.507
1760.200,1753.507
1738.700,1753.507
1756.700,1753.507
1749.300,1753.507
1762.000,1753.507
1752.200,1753.507
1735.300,1753.507
1751.400,1753.507
1743.900,1753.507
1748.200,1753.507
1760.200,1753.507
1760.000,1753.507
1761.000,1753.507
1741.200,1753.507
1753.900,1753.507
1758.300,1753.507
1760.100,1753.507
1750.800,1753.507
1753.900,1753.507
1764.200,1753.507
1764.900,1753.507
1732.800,1753.507
1747.000,1753.507
1762.900,1753.507
1770.200,1753.507
1748.200,1753.507
1763.500,1753.507
1749.500,1753.507
1775.000,1753.507
1728.000,1753.507
1745.100,1753.507
1759.300,1753.507
1757.000,1753.507
1751.400,1753.507
1751.500,1753.507
1736.200,1753.507
1748.800,1753.507
1752.200,1753.507
1761.600,1753.507
1749.200,1753.507
1758.300,1753.507
1764.400,1753.507
1760.400,1753.507
1744.000,1753.507
1758.600,1753.507
1758.800,1753.507
1751.600,1753.507
1745.500,1753.507
1757.000,1753.507
1763.000,1753.507
1763.900,1753.507
1733.400,1753.507
1757.300,1753.507
1745.000,1753.507
1766.200,1753.507
1757.900,1753.507
1753.800,1753.507
1744.800,1753.507
1758.100,1753.507
1747.700,1753.507
1758.300,1753.507
1771.100,1753.507
1768.500,1753.507
1757.600,1753.507
1749.700,1753.507
1762.000,1753.507
1756.900,1753.507
1742.600,1753.507
1757.800,1753.507
1752.400,1753.507
1753.400,1753.507
1739.000,1753.507
1750.000,1753.507
1754.500,1753.507
1756.900,1753.507
1751.100,1753.507
1755.500,1753.507
1755.400,1753.507
1757.300,1753.507
1765.400,1753.507
1760.500,1753.507
1759.600,1753.507
1769.100,1753.507
1763.300,1753.507
1774.200,1753.507
1767.500,1753.507
1782.500,1753.507
1772.900,1753.507
1759.400,1753.507
1752.000,1753.507
1782.000,1753.507
1758.500,1753.507
1780.900,1753.507
1770.000,1753.507
1775.500,1753.507
1770.900,1753.507
1793.200,1753.507
1777.000,1753.507
1785.900,1753.507
1770.900,1753.507
1785.900,1753.507
1789.300,1753.507
1773.100,1753.507
1793.400,1753.507
1788.200,1753.507
1799.300,1753.507
1785.700,1753.507
1787.400,1753.507
1796.800,1753.507
1790.900,1753.507
1803.200,1753.507
1795.600,1753.507
1809.200,1753.507
1803.500,1753.507
1800.700,1753.507
1804.400,1753.507
1793.800,1753.507
1781.500,1753.507
1792.700,1753.507
1805.900,1753.507
1807.300,1753.507
1800.300,1753.507
1805.900,1753.507
1798.000,1753.507
1814.200,1753.507
1803.400,1753.507
1815.700,1753.507
1803.500,1753.507
1822.900,1753.507
1816.500,1753.507
1821.000,1753.507
1815.600,1753.507
1823.300,1753.507
1808.600,1753.507
1818.100,1753.507
1809.100,1753.507
1827.100,1753.507
1833.600,1753.507
1826.500,1753.507
1877.000,1753.507
1870.700,1753.507
2007.500,1753.507
1506.600,1753.507
