Profile Data, Central ROI Mean
1622.300,1753.507
1633.300,1753.507
1643.200,1753.507
1636.300,1753.507
1635.800,1753.507
1650.700,1753.507
1651.100,1753.507
1650.500,1753.507
1652.700,1753.507
1653.900,1753.507
1650.200,1753.507
1662.100,1753.507
1670.900,1753.507
1666.400,1753.507
1667.600,1753.507
1669.100,1753.507
1673.300,1753.507
1671.500,1753.507
1675.000,1753.507
1684.600,1753.507
1678.200,1753.507
1678.700,1753.507
1681.800,1753.507
1687.000,1753.507
1688.500,1753.507
1688.300,1753.507
1695.900,1753.507
1687.900,1753.507
1697.700,1753.507
1704.400,1753.507
1703.400,1753.507
1706.600,1753.507
1719.600,1753.507
1713.400,1753.507
1716.200,1753.507
1713.300,1753.507
1725.100,1753.507
1717.600,1753.507
1714.600,1753.507
1735.800,1753.507
1727.200,1753.507
1719.900,1753.507
1739.500,1753.507
1729.700,1753.507
1715.200,1753.507
1718.100,1753.507
1728.400,1753.507
1738.800,1753.507
1734.900,1753.507
1744.900,1753.507
1750.100,1753.507
1750.100,1753.507
1739.600,1753.507
1751.700,1753.507
1741.200,1753.507
1752.400,1753.507
1748.500,1753.507
1725.200,1753.507
1725.000,1753.507
1731.500,1753.507
1733.500,1753.507
1745.200,1753.507
1741.400,1753.507
1729.400,1753.507
1749.600,1753.507
1767.000,1753.507
1753.900,1753.507
1752.200,1753.507
1755.200,1753.507
1758.600,1753.507
1743.100,1753.507
1752.100,1753.507
1741.900,1753.507
1746.300,1753.507
1755.800,1753.507
1762.900,1753.507
1765.200,1753.507
1767.300,1753.507
1744.800,1753.507
1751.100,1753.507
1744.700,1753.507
1761.600,1753.507
1761.600,1753.507
1748.700,1753.507
1764.600,1753.507
1755.600,1753.507
1745.400,1753.507
1760.700,1753.507
1751.500,1753.507
1762.500,1753.507
1770.600,1753.507
1770.900,1753.507
1759.500,1753.507
1754.600,1753.507
1762.700,1753.507
1756.800,1753.507
1775.200,1753.507
1769.200,1753.507
1773.300,1753.507
1760.900,1753.507
1770.500,1753.507
1754.400,1753.507
1741.300,1753.507
1780.600,1753.507
1756.600,1753.507
1759.100,1753.507
1752.400,1753.507
1755.300,1753.507
1758.600,1753.507
1761.700,1753.507
1754.300,1753.507
1757.500,1753.507
1746.400,1753.507
1763.300,1753.507
1763.400,1753.507
1773.700,1753.507
1754.700,1753.507
1755.500,1753.507
1743.100,1753.507
1760.600,1753.507
1757.500,1753.507
1735.000,1753.507
1744.500,1753.507
1750.500,1753.507
1748.700,1753.507
1755.000,1753.507
1746.400,1753.507
1747.800,1753.507
1748.500,1753.507
1748.100,1753.507
1750.600,1753.507
1752.400,1753.507
1746.800,1753.507
1736.000,1753.507
1743.100,1753.507
1741.900,1753.507
1730.300,1753.507
1747.300,1753.507
1746.000,1753.507
1737.700,1753.507
1724.600,1753.507
1726.300,1753.507
1716.400,1753.507
1719.300,1753.507
1725.600,1753.507
1711.000,1753.507
1700.500,1753.507
1709.500,1753.507
1708.000,1753.507
1703.100,1753.507
1696.600,1753.507
1693.500,1753.507
1694.400,1753.507
1688.900,1753.507
1707.700,1753.507
1709.700,1753.507
1691.400,1753.507
1676.100,1753.507
1684.200,1753.507
1674.400,1753.507
