 ,Value
1,244.800
2,245.200
3,245.900
4,247.500
5,248.400
6,248.600
7,247.900
8,248.300
9,250.100
10,249.200
11,249.600
12,251.400
13,251.000
14,249.600
15,251.100
16,250.700
17,251.300
18,251.500
19,250.600
20,252.300
21,252.200
22,251.900
23,251.300
24,251.800
25,251.700
26,252.800
27,252.000
28,252.300
29,253.100
30,253.600
31,253.000
32,252.800
33,253.000
34,252.800
35,251.000
36,251.400
37,252.900
38,252.400
39,251.800
40,249.700
41,248.400
42,246.700
43,242.200
44,241.200
45,236.400
46,234.600
47,229.800
48,225.100
49,222.100
50,216.500
51,212.500
52,207.900
53,202.900
54,199.700
55,198.300
56,196.100
57,194.300
58,193.600
59,190.700
60,191.600
61,191.800
62,193.200
63,194.000
64,195.400
65,199.100
66,202.900
67,207.700
68,210.000
69,215.000
70,217.600
71,222.600
72,226.100
73,230.200
74,234.900
75,238.900
76,243.000
77,246.000
78,249.500
79,250.100
80,253.100
81,253.000
82,252.600
83,255.600
84,256.700
85,256.300
86,256.200
87,257.800
88,256.400
89,257.200
90,256.600
91,256.500
92,256.800
93,256.100
94,256.000
95,256.400
96,255.600
97,255.800
98,256.900
99,255.500
100,253.000
101,255.000
102,254.500
103,254.500
104,254.900
105,252.000
106,252.200
107,252.400
108,252.200
109,252.000
110,251.600
111,252.300
112,251.400
113,250.600
114,249.200
115,249.400
116,249.600
117,249.500
118,246.600
119,245.200
120,245.700
