Profile Data, Central ROI Mean
1772.000,1747.832
1815.800,1747.832
1737.400,1747.832
1736.100,1747.832
1732.400,1747.832
1734.100,1747.832
1747.000,1747.832
1729.700,1747.832
1746.200,1747.832
1740.900,1747.832
1732.100,1747.832
1736.700,1747.832
1734.100,1747.832
1738.100,1747.832
1751.000,1747.832
1742.400,1747.832
1736.600,1747.832
1733.100,1747.832
1728.700,1747.832
1735.800,1747.832
1735.900,1747.832
1728.900,1747.832
1723.200,1747.832
1721.200,1747.832
1733.700,1747.832
1730.000,1747.832
1746.400,1747.832
1742.700,1747.832
1743.000,1747.832
1744.700,1747.832
1751.200,1747.832
1737.200,1747.832
1718.400,1747.832
1756.400,1747.832
1753.400,1747.832
1746.200,1747.832
1761.000,1747.832
1725.200,1747.832
1747.600,1747.832
1744.100,1747.832
1740.500,1747.832
1743.700,1747.832
1740.500,1747.832
1735.300,1747.832
1749.500,1747.832
1731.100,1747.832
1720.700,1747.832
1740.400,1747.832
1737.100,1747.832
1759.200,1747.832
1742.900,1747.832
1748.400,1747.832
1746.100,1747.832
1720.600,1747.832
1744.800,1747.832
1753.200,1747.832
1744.800,1747.832
1729.100,1747.832
1738.600,1747.832
1748.500,1747.832
1748.700,1747.832
1731.800,1747.832
1749.300,1747.832
1765.800,1747.832
1746.000,1747.832
1752.400,1747.832
1759.400,1747.832
1730.700,1747.832
1748.600,1747.832
1753.800,1747.832
1757.700,1747.832
1737.300,1747.832
1732.400,1747.832
1743.600,1747.832
1743.500,1747.832
1747.100,1747.832
1737.200,1747.832
1741.000,1747.832
1758.100,1747.832
1735.900,1747.832
1748.700,1747.832
1743.500,1747.832
1767.300,1747.832
1754.300,1747.832
1747.000,1747.832
1755.000,1747.832
1730.200,1747.832
1747.500,1747.832
1747.300,1747.832
1748.700,1747.832
1750.200,1747.832
1758.500,1747.832
1757.300,1747.832
1735.000,1747.832
1749.100,1747.832
1736.500,1747.832
1766.200,1747.832
1754.200,1747.832
1740.600,1747.832
1755.000,1747.832
1760.600,1747.832
1744.000,1747.832
1755.500,1747.832
1756.900,1747.832
1755.400,1747.832
1758.900,1747.832
1764.400,1747.832
1766.800,1747.832
1756.800,1747.832
1756.700,1747.832
1751.400,1747.832
1766.200,1747.832
1789.000,1747.832
1756.300,1747.832
1766.400,1747.832
1750.000,1747.832
1764.200,1747.832
1751.500,1747.832
1766.000,1747.832
1766.000,1747.832
1768.800,1747.832
1777.600,1747.832
1762.900,1747.832
1768.100,1747.832
1763.800,1747.832
1752.700,1747.832
1782.600,1747.832
1763.800,1747.832
1751.100,1747.832
1762.500,1747.832
1764.500,1747.832
1760.800,1747.832
1767.100,1747.832
1760.800,1747.832
1744.300,1747.832
1759.000,1747.832
1773.700,1747.832
1765.400,1747.832
1755.200,1747.832
1758.500,1747.832
1761.400,1747.832
1758.700,1747.832
1768.700,1747.832
1783.500,1747.832
1758.600,1747.832
1756.900,1747.832
1772.100,1747.832
1778.100,1747.832
1764.800,1747.832
1764.700,1747.832
1759.200,1747.832
1765.600,1747.832
1773.200,1747.832
1769.100,1747.832
1766.200,1747.832
1784.900,1747.832
1764.600,1747.832
1765.900,1747.832
1787.000,1747.832
1790.400,1747.832
