Profile Data, Central ROI Mean
48.900,1747.832
0.000,1747.832
524.000,1747.832
1605.700,1747.832
1892.600,1747.832
1787.300,1747.832
1817.400,1747.832
1738.700,1747.832
1753.800,1747.832
1751.900,1747.832
1752.600,1747.832
1751.300,1747.832
1742.100,1747.832
1751.800,1747.832
1750.900,1747.832
1748.300,1747.832
1738.400,1747.832
1755.500,1747.832
1741.100,1747.832
1749.400,1747.832
1746.500,1747.832
1740.900,1747.832
1735.900,1747.832
1740.400,1747.832
1751.200,1747.832
1735.200,1747.832
1746.000,1747.832
1749.400,1747.832
1739.500,1747.832
1733.500,1747.832
1725.400,1747.832
1750.100,1747.832
1739.700,1747.832
1741.400,1747.832
1757.400,1747.832
1755.300,1747.832
1756.000,1747.832
1765.400,1747.832
1750.900,1747.832
1752.000,1747.832
1760.700,1747.832
1757.600,1747.832
1747.900,1747.832
1749.200,1747.832
1737.100,1747.832
1753.700,1747.832
1726.300,1747.832
1748.600,1747.832
1726.600,1747.832
1743.100,1747.832
1745.400,1747.832
1749.700,1747.832
1750.600,1747.832
1753.300,1747.832
1762.600,1747.832
1762.200,1747.832
1734.400,1747.832
1745.300,1747.832
1756.900,1747.832
1756.100,1747.832
1741.900,1747.832
1748.000,1747.832
1757.800,1747.832
1762.300,1747.832
1748.300,1747.832
1746.000,1747.832
1756.900,1747.832
1757.000,1747.832
1752.600,1747.832
1748.500,1747.832
1747.300,1747.832
1749.800,1747.832
1763.700,1747.832
1761.900,1747.832
1743.500,1747.832
1738.700,1747.832
1731.700,1747.832
1755.300,1747.832
1720.200,1747.832
1772.800,1747.832
1738.700,1747.832
1759.200,1747.832
1746.800,1747.832
1754.100,1747.832
1762.600,1747.832
1749.600,1747.832
1754.300,1747.832
1735.500,1747.832
1735.000,1747.832
1758.800,1747.832
1758.000,1747.832
1751.700,1747.832
1753.200,1747.832
1749.200,1747.832
1757.800,1747.832
1758.800,1747.832
1750.500,1747.832
1763.000,1747.832
1742.700,1747.832
1763.600,1747.832
1774.300,1747.832
1758.000,1747.832
1761.800,1747.832
1768.700,1747.832
1750.400,1747.832
1751.000,1747.832
1752.400,1747.832
1761.200,1747.832
1759.000,1747.832
1755.100,1747.832
1769.000,1747.832
1764.300,1747.832
1780.700,1747.832
1757.500,1747.832
1774.100,1747.832
1779.800,1747.832
1757.900,1747.832
1773.200,1747.832
1766.900,1747.832
1776.700,1747.832
1783.100,1747.832
1792.600,1747.832
1778.000,1747.832
1784.200,1747.832
1797.200,1747.832
1773.500,1747.832
1775.200,1747.832
1790.800,1747.832
1781.100,1747.832
1792.800,1747.832
1789.800,1747.832
1794.100,1747.832
1783.800,1747.832
1798.400,1747.832
1783.200,1747.832
1803.400,1747.832
1800.000,1747.832
1799.900,1747.832
1803.100,1747.832
1816.900,1747.832
1812.900,1747.832
1793.800,1747.832
1799.800,1747.832
1798.900,1747.832
1803.700,1747.832
1814.800,1747.832
1804.300,1747.832
1815.200,1747.832
1805.100,1747.832
1813.900,1747.832
1786.600,1747.832
1800.000,1747.832
1797.400,1747.832
1815.400,1747.832
1806.900,1747.832
1815.500,1747.832
1812.100,1747.832
1820.900,1747.832
1805.400,1747.832
1815.200,1747.832
