Profile Data, Central ROI Mean
2000.000,894.795
1968.700,894.795
1936.900,894.795
1907.200,894.795
1873.000,894.795
1842.300,894.795
1814.200,894.795
1785.400,894.795
1754.700,894.795
1725.100,894.795
1700.300,894.795
1673.900,894.795
1645.600,894.795
1620.000,894.795
1595.200,894.795
1572.900,894.795
1544.400,894.795
1521.900,894.795
1503.300,894.795
1478.600,894.795
1456.400,894.795
1435.700,894.795
1414.000,894.795
1394.200,894.795
1372.800,894.795
1356.100,894.795
1338.500,894.795
1322.400,894.795
1300.200,894.795
1287.000,894.795
1270.200,894.795
1254.700,894.795
1238.400,894.795
1221.300,894.795
1209.300,894.795
1191.300,894.795
1176.600,894.795
1163.100,894.795
1150.100,894.795
1137.600,894.795
1122.400,894.795
1115.600,894.795
1101.400,894.795
1087.500,894.795
1077.700,894.795
1065.600,894.795
1059.500,894.795
1047.900,894.795
1035.900,894.795
1027.700,894.795
1018.300,894.795
1010.000,894.795
1003.600,894.795
993.500,894.795
985.700,894.795
978.000,894.795
969.400,894.795
963.100,894.795
958.200,894.795
948.900,894.795
945.200,894.795
938.200,894.795
932.300,894.795
927.800,894.795
923.900,894.795
918.400,894.795
914.500,894.795
913.900,894.795
910.600,894.795
906.300,894.795
900.300,894.795
900.900,894.795
899.200,894.795
895.700,894.795
895.100,894.795
889.400,894.795
888.000,894.795
889.600,894.795
888.500,894.795
887.300,894.795
890.700,894.795
892.400,894.795
890.500,894.795
889.500,894.795
889.800,894.795
887.100,894.795
892.900,894.795
896.300,894.795
899.600,894.795
898.200,894.795
905.300,894.795
907.100,894.795
914.000,894.795
917.700,894.795
919.100,894.795
922.600,894.795
927.000,894.795
931.900,894.795
940.000,894.795
943.400,894.795
949.700,894.795
953.400,894.795
965.500,894.795
972.000,894.795
980.400,894.795
985.200,894.795
992.600,894.795
1000.600,894.795
1011.900,894.795
1016.500,894.795
1028.900,894.795
1036.700,894.795
1051.700,894.795
1056.400,894.795
1071.200,894.795
1082.700,894.795
1096.900,894.795
1105.800,894.795
1122.900,894.795
1130.400,894.795
1151.600,894.795
1159.500,894.795
1178.500,894.795
1191.400,894.795
1208.400,894.795
1220.300,894.795
1239.700,894.795
1252.000,894.795
1275.000,894.795
1290.100,894.795
1311.200,894.795
1327.400,894.795
1350.400,894.795
1364.500,894.795
1388.500,894.795
1406.100,894.795
1431.900,894.795
1446.500,894.795
1474.800,894.795
1494.600,894.795
1521.500,894.795
1544.200,894.795
1570.700,894.795
1591.300,894.795
1622.900,894.795
1644.500,894.795
1678.300,894.795
1700.200,894.795
1734.100,894.795
1760.900,894.795
1794.300,894.795
1821.500,894.795
1857.100,894.795
1884.800,894.795
1920.700,894.795
1952.600,894.795
1992.800,894.795
2026.400,894.795
2065.400,894.795
2100.200,894.795
