Profile Data, Central ROI Mean
1536.900,1100.035
1523.600,1100.035
1511.800,1100.035
1500.300,1100.035
1489.200,1100.035
1478.800,1100.035
1466.600,1100.035
1456.300,1100.035
1445.300,1100.035
1435.500,1100.035
1426.000,1100.035
1416.300,1100.035
1405.600,1100.035
1398.800,1100.035
1390.200,1100.035
1380.400,1100.035
1370.600,1100.035
1363.900,1100.035
1355.900,1100.035
1350.700,1100.035
1341.100,1100.035
1333.500,1100.035
1325.100,1100.035
1320.800,1100.035
1314.200,1100.035
1307.800,1100.035
1301.500,1100.035
1297.100,1100.035
1288.200,1100.035
1283.500,1100.035
1278.400,1100.035
1273.200,1100.035
1267.700,1100.035
1262.700,1100.035
1258.000,1100.035
1254.700,1100.035
1247.000,1100.035
1244.100,1100.035
1239.200,1100.035
1235.300,1100.035
1230.300,1100.035
1226.500,1100.035
1222.100,1100.035
1218.700,1100.035
1215.400,1100.035
1211.900,1100.035
1206.500,1100.035
1204.800,1100.035
1198.500,1100.035
1196.600,1100.035
1192.100,1100.035
1190.000,1100.035
1185.900,1100.035
1180.900,1100.035
1179.100,1100.035
1175.700,1100.035
1172.200,1100.035
1170.500,1100.035
1165.400,1100.035
1163.000,1100.035
1159.500,1100.035
1157.400,1100.035
1152.900,1100.035
1150.500,1100.035
1146.800,1100.035
1144.500,1100.035
1140.400,1100.035
1139.000,1100.035
1132.800,1100.035
1130.700,1100.035
1129.800,1100.035
1126.500,1100.035
1121.900,1100.035
1118.200,1100.035
1116.400,1100.035
1113.400,1100.035
1108.300,1100.035
1106.900,1100.035
1100.800,1100.035
1099.000,1100.035
1093.300,1100.035
1090.500,1100.035
1087.000,1100.035
1085.500,1100.035
1082.500,1100.035
1078.200,1100.035
1073.500,1100.035
1071.900,1100.035
1066.000,1100.035
1063.200,1100.035
1059.000,1100.035
1054.700,1100.035
1051.200,1100.035
1046.100,1100.035
1041.500,1100.035
1037.600,1100.035
1032.500,1100.035
1031.100,1100.035
1027.400,1100.035
1023.100,1100.035
1019.400,1100.035
1016.300,1100.035
1010.500,1100.035
1004.900,1100.035
1000.100,1100.035
997.100,1100.035
991.700,1100.035
988.100,1100.035
981.100,1100.035
978.000,1100.035
973.700,1100.035
970.400,1100.035
964.900,1100.035
959.600,1100.035
955.500,1100.035
951.200,1100.035
945.500,1100.035
941.300,1100.035
936.400,1100.035
930.900,1100.035
925.800,1100.035
921.700,1100.035
917.200,1100.035
912.400,1100.035
905.500,1100.035
901.700,1100.035
896.500,1100.035
889.500,1100.035
885.400,1100.035
881.600,1100.035
876.100,1100.035
871.900,1100.035
866.900,1100.035
863.800,1100.035
856.800,1100.035
852.000,1100.035
847.800,1100.035
842.200,1100.035
837.400,1100.035
833.500,1100.035
829.200,1100.035
824.200,1100.035
818.800,1100.035
813.800,1100.035
809.800,1100.035
805.400,1100.035
800.000,1100.035
796.100,1100.035
791.100,1100.035
787.900,1100.035
784.800,1100.035
780.200,1100.035
775.800,1100.035
772.100,1100.035
767.900,1100.035
765.000,1100.035
759.900,1100.035
754.400,1100.035
753.400,1100.035
748.700,1100.035
