Profile Data, Central ROI Mean
2131.300,1113.503
2013.600,1113.503
1999.700,1113.503
1966.500,1113.503
1938.600,1113.503
1906.200,1113.503
1883.600,1113.503
1854.600,1113.503
1833.200,1113.503
1810.300,1113.503
1789.000,1113.503
1768.200,1113.503
1749.800,1113.503
1730.700,1113.503
1706.100,1113.503
1690.400,1113.503
1669.000,1113.503
1654.600,1113.503
1632.900,1113.503
1621.400,1113.503
1599.400,1113.503
1586.900,1113.503
1566.700,1113.503
1555.700,1113.503
1535.000,1113.503
1524.800,1113.503
1506.000,1113.503
1497.100,1113.503
1478.200,1113.503
1469.600,1113.503
1451.400,1113.503
1443.200,1113.503
1426.000,1113.503
1420.100,1113.503
1403.200,1113.503
1395.100,1113.503
1379.200,1113.503
1372.500,1113.503
1356.800,1113.503
1350.800,1113.503
1336.700,1113.503
1329.500,1113.503
1314.500,1113.503
1310.100,1113.503
1294.200,1113.503
1290.600,1113.503
1279.400,1113.503
1273.800,1113.503
1261.100,1113.503
1256.800,1113.503
1245.700,1113.503
1241.700,1113.503
1231.200,1113.503
1227.600,1113.503
1215.900,1113.503
1213.700,1113.503
1204.600,1113.503
1199.900,1113.503
1191.300,1113.503
1188.600,1113.503
1180.300,1113.503
1177.000,1113.503
1170.800,1113.503
1167.800,1113.503
1160.600,1113.503
1156.300,1113.503
1152.200,1113.503
1147.700,1113.503
1142.300,1113.503
1140.300,1113.503
1135.600,1113.503
1133.100,1113.503
1128.900,1113.503
1126.400,1113.503
1122.600,1113.503
1122.200,1113.503
1117.100,1113.503
1117.000,1113.503
1114.100,1113.503
1113.200,1113.503
1108.500,1113.503
1109.200,1113.503
1107.600,1113.503
1106.000,1113.503
1104.500,1113.503
1102.000,1113.503
1103.300,1113.503
1103.700,1113.503
1100.500,1113.503
1101.800,1113.503
1100.100,1113.503
1100.700,1113.503
1100.000,1113.503
1101.700,1113.503
1100.700,1113.503
1103.400,1113.503
1103.600,1113.503
1104.400,1113.503
1105.100,1113.503
1106.600,1113.503
1109.200,1113.503
1108.900,1113.503
1111.400,1113.503
1113.700,1113.503
1114.900,1113.503
1116.600,1113.503
1119.500,1113.503
1122.100,1113.503
1123.600,1113.503
1129.200,1113.503
1131.500,1113.503
1135.400,1113.503
1138.800,1113.503
1142.300,1113.503
1145.300,1113.503
1150.300,1113.503
1155.300,1113.503
1160.700,1113.503
1164.000,1113.503
1167.800,1113.503
1174.200,1113.503
1179.500,1113.503
1186.000,1113.503
1192.100,1113.503
1198.000,1113.503
1204.300,1113.503
1210.700,1113.503
1215.900,1113.503
1224.500,1113.503
1231.200,1113.503
1239.900,1113.503
1247.600,1113.503
1255.900,1113.503
1263.000,1113.503
1273.300,1113.503
1279.900,1113.503
1291.700,1113.503
1300.200,1113.503
1310.300,1113.503
1319.600,1113.503
1330.700,1113.503
1341.000,1113.503
1353.700,1113.503
1364.700,1113.503
1377.700,1113.503
1389.400,1113.503
1404.900,1113.503
1417.600,1113.503
1431.200,1113.503
1445.100,1113.503
1459.100,1113.503
1473.700,1113.503
1489.200,1113.503
1502.400,1113.503
1522.500,1113.503
1541.300,1113.503
1551.300,1113.503
1616.700,1113.503
1682.100,1113.503
1840.600,1113.503
