Profile Data, Central ROI Mean
1582.200,1113.503
1572.300,1113.503
1556.700,1113.503
1547.200,1113.503
1532.400,1113.503
1520.600,1113.503
1507.500,1113.503
1497.700,1113.503
1485.500,1113.503
1474.400,1113.503
1463.300,1113.503
1453.200,1113.503
1442.500,1113.503
1433.300,1113.503
1422.000,1113.503
1411.600,1113.503
1402.900,1113.503
1392.200,1113.503
1382.800,1113.503
1375.300,1113.503
1367.700,1113.503
1359.600,1113.503
1351.300,1113.503
1343.600,1113.503
1337.800,1113.503
1327.900,1113.503
1322.300,1113.503
1314.000,1113.503
1309.700,1113.503
1302.300,1113.503
1297.000,1113.503
1290.500,1113.503
1285.800,1113.503
1278.400,1113.503
1273.100,1113.503
1267.300,1113.503
1262.900,1113.503
1255.800,1113.503
1251.800,1113.503
1246.100,1113.503
1244.800,1113.503
1238.700,1113.503
1235.700,1113.503
1231.700,1113.503
1224.700,1113.503
1222.800,1113.503
1218.300,1113.503
1212.300,1113.503
1210.900,1113.503
1205.400,1113.503
1203.700,1113.503
1198.000,1113.503
1197.200,1113.503
1192.500,1113.503
1187.800,1113.503
1186.700,1113.503
1184.200,1113.503
1178.400,1113.503
1175.700,1113.503
1173.800,1113.503
1171.300,1113.503
1167.500,1113.503
1164.900,1113.503
1162.300,1113.503
1157.000,1113.503
1154.100,1113.503
1151.400,1113.503
1146.800,1113.503
1145.900,1113.503
1142.500,1113.503
1141.400,1113.503
1135.900,1113.503
1134.800,1113.503
1130.500,1113.503
1130.700,1113.503
1125.300,1113.503
1122.100,1113.503
1119.700,1113.503
1116.200,1113.503
1113.200,1113.503
1110.900,1113.503
1107.300,1113.503
1104.600,1113.503
1102.200,1113.503
1097.900,1113.503
1095.000,1113.503
1091.800,1113.503
1087.700,1113.503
1084.800,1113.503
1081.000,1113.503
1077.600,1113.503
1074.500,1113.503
1071.300,1113.503
1067.800,1113.503
1062.400,1113.503
1058.900,1113.503
1055.400,1113.503
1051.200,1113.503
1048.300,1113.503
1045.700,1113.503
1041.000,1113.503
1037.700,1113.503
1034.600,1113.503
1028.700,1113.503
1026.300,1113.503
1021.600,1113.503
1016.900,1113.503
1013.000,1113.503
1010.300,1113.503
1004.900,1113.503
999.700,1113.503
995.900,1113.503
991.300,1113.503
987.100,1113.503
983.700,1113.503
977.000,1113.503
972.700,1113.503
967.400,1113.503
964.400,1113.503
961.000,1113.503
954.400,1113.503
949.100,1113.503
945.800,1113.503
940.800,1113.503
935.700,1113.503
931.100,1113.503
925.700,1113.503
921.100,1113.503
914.900,1113.503
910.600,1113.503
905.700,1113.503
901.000,1113.503
895.200,1113.503
890.500,1113.503
886.700,1113.503
881.800,1113.503
876.600,1113.503
871.000,1113.503
866.000,1113.503
860.700,1113.503
856.500,1113.503
850.500,1113.503
845.200,1113.503
840.200,1113.503
835.700,1113.503
831.200,1113.503
826.000,1113.503
821.500,1113.503
817.000,1113.503
812.600,1113.503
807.300,1113.503
802.800,1113.503
797.500,1113.503
793.100,1113.503
788.300,1113.503
784.000,1113.503
780.200,1113.503
775.900,1113.503
771.100,1113.503
766.900,1113.503
