Profile Data, Central ROI Mean
2271.700,1124.720
2261.000,1124.720
2156.000,1124.720
2120.900,1124.720
2089.400,1124.720
2051.800,1124.720
2031.800,1124.720
1998.600,1124.720
1975.700,1124.720
1942.500,1124.720
1921.500,1124.720
1889.200,1124.720
1870.300,1124.720
1839.600,1124.720
1822.500,1124.720
1792.200,1124.720
1776.200,1124.720
1747.300,1124.720
1731.100,1124.720
1703.300,1124.720
1686.900,1124.720
1660.000,1124.720
1646.600,1124.720
1620.500,1124.720
1606.500,1124.720
1580.900,1124.720
1570.900,1124.720
1546.700,1124.720
1532.700,1124.720
1510.200,1124.720
1499.000,1124.720
1477.600,1124.720
1468.100,1124.720
1447.900,1124.720
1435.200,1124.720
1415.600,1124.720
1407.900,1124.720
1388.500,1124.720
1380.000,1124.720
1362.200,1124.720
1353.500,1124.720
1339.100,1124.720
1329.100,1124.720
1313.200,1124.720
1305.100,1124.720
1291.100,1124.720
1284.300,1124.720
1272.200,1124.720
1264.100,1124.720
1252.800,1124.720
1244.700,1124.720
1233.200,1124.720
1229.000,1124.720
1216.900,1124.720
1211.400,1124.720
1202.000,1124.720
1197.900,1124.720
1188.100,1124.720
1183.700,1124.720
1175.500,1124.720
1171.200,1124.720
1164.400,1124.720
1161.800,1124.720
1153.100,1124.720
1153.300,1124.720
1144.900,1124.720
1142.500,1124.720
1137.900,1124.720
1134.700,1124.720
1131.000,1124.720
1129.100,1124.720
1125.000,1124.720
1124.000,1124.720
1122.400,1124.720
1121.700,1124.720
1118.200,1124.720
1117.300,1124.720
1117.000,1124.720
1115.800,1124.720
1116.900,1124.720
1118.600,1124.720
1119.100,1124.720
1119.900,1124.720
1120.700,1124.720
1122.500,1124.720
1124.400,1124.720
1125.600,1124.720
1127.600,1124.720
1130.500,1124.720
1135.600,1124.720
1135.200,1124.720
1142.400,1124.720
1143.800,1124.720
1149.700,1124.720
1152.600,1124.720
1158.400,1124.720
1164.000,1124.720
1170.600,1124.720
1175.200,1124.720
1183.700,1124.720
1186.300,1124.720
1198.900,1124.720
1201.300,1124.720
1210.900,1124.720
1217.400,1124.720
1227.300,1124.720
1234.200,1124.720
1246.900,1124.720
1252.800,1124.720
1263.800,1124.720
1269.900,1124.720
1284.000,1124.720
1291.800,1124.720
1308.200,1124.720
1312.400,1124.720
1328.200,1124.720
1338.500,1124.720
1353.100,1124.720
1362.100,1124.720
1379.500,1124.720
1389.000,1124.720
1406.300,1124.720
1415.800,1124.720
1434.000,1124.720
1445.000,1124.720
1465.900,1124.720
1477.000,1124.720
1499.200,1124.720
1510.000,1124.720
1531.400,1124.720
1542.900,1124.720
1565.900,1124.720
1579.500,1124.720
1604.100,1124.720
1618.500,1124.720
1642.100,1124.720
1657.900,1124.720
1683.800,1124.720
1696.900,1124.720
1725.100,1124.720
1744.900,1124.720
1771.100,1124.720
1788.900,1124.720
1814.700,1124.720
1834.800,1124.720
1864.300,1124.720
1887.100,1124.720
1914.700,1124.720
1937.300,1124.720
1969.400,1124.720
1996.600,1124.720
2025.700,1124.720
2055.400,1124.720
2084.500,1124.720
2116.700,1124.720
2145.900,1124.720
2178.900,1124.720
2212.200,1124.720
2259.400,1124.720
2288.500,1124.720
