Profile Data, Central ROI Mean
0.000,1124.720
0.000,1124.720
315.600,1124.720
2071.900,1124.720
2253.900,1124.720
2086.200,1124.720
2109.000,1124.720
1976.200,1124.720
1989.900,1124.720
1939.200,1124.720
1921.200,1124.720
1894.500,1124.720
1867.600,1124.720
1845.300,1124.720
1824.000,1124.720
1801.700,1124.720
1780.700,1124.720
1760.000,1124.720
1737.100,1124.720
1720.300,1124.720
1699.200,1124.720
1679.300,1124.720
1661.400,1124.720
1645.600,1124.720
1625.300,1124.720
1610.400,1124.720
1592.400,1124.720
1577.900,1124.720
1560.700,1124.720
1546.500,1124.720
1530.300,1124.720
1515.600,1124.720
1500.800,1124.720
1488.600,1124.720
1473.400,1124.720
1463.400,1124.720
1449.200,1124.720
1441.100,1124.720
1425.000,1124.720
1416.700,1124.720
1403.800,1124.720
1392.100,1124.720
1379.500,1124.720
1367.500,1124.720
1355.700,1124.720
1345.900,1124.720
1334.700,1124.720
1328.400,1124.720
1316.200,1124.720
1305.400,1124.720
1296.300,1124.720
1289.100,1124.720
1277.900,1124.720
1270.500,1124.720
1262.200,1124.720
1254.400,1124.720
1244.200,1124.720
1238.500,1124.720
1229.900,1124.720
1223.800,1124.720
1215.400,1124.720
1209.300,1124.720
1201.800,1124.720
1196.700,1124.720
1189.700,1124.720
1184.100,1124.720
1176.600,1124.720
1172.400,1124.720
1164.600,1124.720
1160.300,1124.720
1154.400,1124.720
1149.900,1124.720
1146.300,1124.720
1142.700,1124.720
1137.500,1124.720
1135.300,1124.720
1127.800,1124.720
1126.000,1124.720
1122.600,1124.720
1121.100,1124.720
1116.100,1124.720
1113.200,1124.720
1110.100,1124.720
1108.800,1124.720
1105.000,1124.720
1105.200,1124.720
1100.600,1124.720
1099.400,1124.720
1097.400,1124.720
1097.600,1124.720
1093.300,1124.720
1093.700,1124.720
1092.500,1124.720
1092.600,1124.720
1089.400,1124.720
1092.000,1124.720
1087.600,1124.720
1092.700,1124.720
1090.000,1124.720
1092.300,1124.720
1089.200,1124.720
1091.100,1124.720
1088.800,1124.720
1093.200,1124.720
1091.400,1124.720
1095.600,1124.720
1092.500,1124.720
1098.000,1124.720
1096.200,1124.720
1100.500,1124.720
1099.000,1124.720
1103.800,1124.720
1103.500,1124.720
1108.800,1124.720
1109.600,1124.720
1114.400,1124.720
1115.400,1124.720
1119.700,1124.720
1120.000,1124.720
1128.300,1124.720
1127.600,1124.720
1135.100,1124.720
1135.300,1124.720
1143.600,1124.720
1143.300,1124.720
1150.900,1124.720
1151.600,1124.720
1162.100,1124.720
1161.000,1124.720
1174.100,1124.720
1174.700,1124.720
1185.400,1124.720
1188.000,1124.720
1200.600,1124.720
1202.200,1124.720
1216.500,1124.720
1217.400,1124.720
1230.500,1124.720
1232.200,1124.720
1247.000,1124.720
1250.200,1124.720
1266.200,1124.720
1266.600,1124.720
1284.300,1124.720
1287.800,1124.720
1304.900,1124.720
1309.300,1124.720
1327.400,1124.720
1329.300,1124.720
1348.900,1124.720
1352.300,1124.720
1375.200,1124.720
1379.100,1124.720
1401.600,1124.720
1404.100,1124.720
1429.000,1124.720
1432.900,1124.720
1462.200,1124.720
1466.000,1124.720
1494.200,1124.720
