 ,Mean1
1,772.222
2,772.031
3,772.284
4,771.689
5,772.276
6,772.227
7,771.902
8,771.760
9,772.364
10,772.076
11,771.933
12,771.818
13,772.062
14,771.907
15,771.818
16,772.044
17,772.351
18,771.973
19,771.689
20,772.324
21,772.316
22,772.258
23,771.987
24,772.262
25,772.116
26,772.067
27,772.009
28,772.080
29,771.893
30,772.053
31,772.129
32,772.067
33,772.476
34,771.947
35,772.018
36,772.200
37,771.938
38,772.173
39,772.262
40,772.236
41,772.160
42,772.076
43,771.978
44,771.907
45,772.084
46,771.933
47,772.276
48,772.111
49,771.956
50,772.236
51,772.164
52,772.209
53,772.196
54,771.804
55,771.960
56,772.084
57,772.089
58,772.142
59,771.907
60,771.831
61,772.053
62,772.173
63,772.018
64,772.289
65,772.453
66,772.440
67,772.067
68,771.818
69,772.182
70,772.191
71,772.178
72,772.040
73,772.560
74,772.244
75,772.204
76,772.093
77,772.173
78,772.209
79,772.262
80,771.907
81,772.116
82,771.933
83,772.178
84,771.991
85,772.098
86,772.138
87,771.653
88,772.169
89,772.333
90,771.907
91,772.164
92,771.942
93,772.071
94,771.889
95,772.147
96,772.018
97,771.978
98,771.951
99,772.231
100,771.978
