 ,Value
1,1701.600
2,1710.500
3,1727.400
4,1742.200
5,1716.500
6,1702.900
7,1746.300
8,1733.400
9,1736.600
10,1713.700
11,1733.200
12,1757.200
13,1756.500
14,1732.000
15,1727.100
16,1744.600
17,1747.800
18,1744.600
19,1761.200
20,1768.900
21,1752.600
22,1758.400
23,1787.000
24,1776.100
25,1782.900
26,1767.600
27,1760.700
28,1775.700
29,1775.300
30,1760.800
31,1791.700
32,1772.200
33,1752.500
34,1751.200
35,1726.200
36,1704.600
37,1677.400
38,1668.900
39,1624.900
40,1586.700
41,1527.900
42,1508.500
43,1461.400
44,1428.400
45,1426.200
46,1392.100
47,1382.400
48,1360.400
49,1391.400
50,1366.700
51,1363.700
52,1367.000
53,1374.100
54,1368.200
55,1388.000
56,1385.800
57,1353.000
58,1343.300
59,1377.900
60,1383.300
61,1393.900
62,1415.900
63,1430.900
64,1459.200
65,1534.500
66,1566.900
67,1603.100
68,1646.500
69,1664.400
70,1707.000
71,1733.000
72,1742.800
73,1797.000
74,1793.100
75,1781.600
76,1810.100
77,1776.900
78,1791.300
79,1791.100
80,1802.800
81,1787.400
82,1804.300
83,1801.500
84,1789.300
85,1805.500
86,1806.900
87,1797.300
88,1805.100
89,1777.200
90,1770.500
91,1794.900
92,1802.600
93,1802.800
94,1782.000
95,1803.500
96,1808.400
97,1794.200
98,1797.400
99,1782.900
100,1780.400
101,1781.600
102,1797.900
103,1783.900
104,1766.900
105,1784.900
106,1778.600
107,1771.600
108,1788.900
109,1779.400
110,1777.800
111,1768.200
112,1768.600
113,1778.000
114,1756.900
115,1776.600
116,1753.300
117,1761.700
118,1774.200
119,1755.000
120,1751.200
