 ,Value
1,1598.000
2,1592.700
3,1603.500
4,1596.000
5,1621.400
6,1642.400
7,1626.000
8,1634.400
9,1625.400
10,1617.300
11,1610.700
12,1627.500
13,1640.600
14,1641.100
15,1677.200
16,1639.100
17,1657.200
18,1641.700
19,1661.200
20,1657.100
21,1665.000
22,1677.700
23,1663.400
24,1631.800
25,1653.600
26,1667.100
27,1660.100
28,1636.700
29,1662.800
30,1675.200
31,1657.100
32,1690.300
33,1696.100
34,1689.600
35,1655.400
36,1679.300
37,1702.500
38,1673.100
39,1683.100
40,1678.100
41,1682.800
42,1692.700
43,1683.700
44,1648.000
45,1666.000
46,1669.900
47,1647.800
48,1639.600
49,1645.800
50,1615.600
51,1611.800
52,1572.400
53,1513.700
54,1486.700
55,1451.600
56,1411.800
57,1374.800
58,1356.200
59,1309.200
60,1292.300
61,1284.400
62,1300.600
63,1316.800
64,1268.900
65,1295.900
66,1272.100
67,1315.400
68,1300.400
69,1296.600
70,1304.100
71,1288.500
72,1323.800
73,1321.700
74,1334.600
75,1371.900
76,1409.700
77,1404.800
78,1453.700
79,1519.200
80,1519.400
81,1574.800
82,1621.900
83,1603.100
84,1622.100
85,1640.500
86,1658.800
87,1658.900
88,1668.000
89,1663.800
90,1647.500
91,1657.300
92,1658.700
93,1630.900
94,1659.800
95,1659.500
96,1658.000
97,1636.000
98,1639.100
99,1652.800
100,1635.900
101,1634.100
102,1635.400
103,1624.800
104,1625.100
105,1637.000
106,1629.100
107,1612.300
108,1626.600
109,1615.700
110,1603.400
111,1614.600
112,1596.400
113,1589.400
114,1606.500
115,1593.500
116,1608.700
117,1600.900
118,1586.500
119,1569.800
120,1577.500
