 ,Value
1,1598.200
2,1595.200
3,1620.000
4,1638.300
5,1612.900
6,1613.500
7,1625.800
8,1618.200
9,1610.800
10,1612.200
11,1619.200
12,1618.300
13,1624.200
14,1620.100
15,1601.200
16,1620.200
17,1651.100
18,1638.200
19,1614.700
20,1614.500
21,1645.300
22,1625.100
23,1631.700
24,1605.400
25,1607.000
26,1635.700
27,1649.900
28,1608.800
29,1628.400
30,1623.400
31,1643.900
32,1634.300
33,1624.800
34,1606.300
35,1633.900
36,1605.400
37,1607.300
38,1636.100
39,1639.200
40,1595.300
41,1566.400
42,1570.800
43,1524.900
44,1500.900
45,1478.900
46,1435.200
47,1406.500
48,1375.900
49,1361.700
50,1332.100
51,1284.700
52,1288.200
53,1293.700
54,1263.500
55,1266.700
56,1234.900
57,1255.100
58,1272.200
59,1258.600
60,1255.600
61,1260.700
62,1276.600
63,1257.900
64,1275.400
65,1277.100
66,1296.800
67,1294.700
68,1313.300
69,1339.500
70,1364.100
71,1391.000
72,1459.100
73,1490.500
74,1541.500
75,1562.100
76,1587.800
77,1608.000
78,1610.400
79,1618.400
80,1613.000
81,1624.100
82,1637.200
83,1643.600
84,1638.600
85,1621.500
86,1635.900
87,1657.600
88,1650.200
89,1648.200
90,1640.400
91,1671.500
92,1661.800
93,1638.600
94,1655.000
95,1646.900
96,1636.200
97,1645.400
98,1657.000
99,1661.100
100,1647.200
101,1649.900
102,1647.000
103,1653.500
104,1622.100
105,1647.500
106,1659.000
107,1620.300
108,1635.600
109,1631.100
110,1641.800
111,1642.000
112,1642.300
113,1645.900
114,1641.500
115,1651.800
116,1635.400
117,1627.300
118,1626.500
119,1625.200
120,1626.400
