Profile Data, Central ROI Mean
1673.600,1955.015
1686.400,1955.015
1693.700,1955.015
1721.200,1955.015
1725.000,1955.015
1752.300,1955.015
1781.700,1955.015
1784.000,1955.015
1779.200,1955.015
1808.400,1955.015
1797.600,1955.015
1809.600,1955.015
1797.000,1955.015
1833.300,1955.015
1830.800,1955.015
1840.200,1955.015
1835.600,1955.015
1854.400,1955.015
1896.000,1955.015
1883.600,1955.015
1902.700,1955.015
1894.200,1955.015
1892.500,1955.015
1886.600,1955.015
1916.700,1955.015
1923.100,1955.015
1909.200,1955.015
1927.700,1955.015
1933.000,1955.015
1911.500,1955.015
1906.300,1955.015
1952.600,1955.015
1922.800,1955.015
1918.100,1955.015
1919.300,1955.015
1928.600,1955.015
1943.400,1955.015
1930.300,1955.015
1925.800,1955.015
1918.600,1955.015
1943.600,1955.015
1953.400,1955.015
1941.800,1955.015
1980.400,1955.015
1967.700,1955.015
1945.500,1955.015
1965.200,1955.015
1947.500,1955.015
1945.800,1955.015
1964.600,1955.015
1969.100,1955.015
1965.800,1955.015
1961.200,1955.015
1955.100,1955.015
1978.700,1955.015
1951.500,1955.015
1952.700,1955.015
1960.900,1955.015
1957.800,1955.015
1972.100,1955.015
1921.700,1955.015
1940.400,1955.015
1952.000,1955.015
1978.500,1955.015
1926.500,1955.015
1951.100,1955.015
1975.600,1955.015
1963.700,1955.015
1961.600,1955.015
1947.600,1955.015
1955.200,1955.015
1938.900,1955.015
1960.300,1955.015
1960.600,1955.015
1947.600,1955.015
1963.200,1955.015
1933.200,1955.015
1962.700,1955.015
1964.400,1955.015
1949.500,1955.015
1949.400,1955.015
1955.600,1955.015
1953.000,1955.015
1925.400,1955.015
1944.800,1955.015
1969.300,1955.015
1922.500,1955.015
1979.400,1955.015
1966.400,1955.015
1965.700,1955.015
1972.200,1955.015
1941.800,1955.015
1949.600,1955.015
1943.100,1955.015
1967.000,1955.015
1968.400,1955.015
1960.100,1955.015
1965.700,1955.015
1941.000,1955.015
1940.500,1955.015
1934.000,1955.015
1949.100,1955.015
1933.500,1955.015
1969.700,1955.015
1930.000,1955.015
1955.900,1955.015
1987.300,1955.015
1970.700,1955.015
1971.900,1955.015
1951.600,1955.015
1932.300,1955.015
1945.400,1955.015
1961.800,1955.015
1947.500,1955.015
1957.700,1955.015
1962.300,1955.015
1949.600,1955.015
1912.500,1955.015
1893.000,1955.015
1950.100,1955.015
1950.600,1955.015
1920.000,1955.015
1917.100,1955.015
1929.600,1955.015
1903.200,1955.015
1912.700,1955.015
1929.000,1955.015
1916.200,1955.015
1899.200,1955.015
1890.000,1955.015
1908.400,1955.015
1913.200,1955.015
1910.700,1955.015
1886.200,1955.015
1900.500,1955.015
1909.800,1955.015
1878.500,1955.015
1874.000,1955.015
1832.500,1955.015
1841.300,1955.015
1866.700,1955.015
1844.500,1955.015
1835.600,1955.015
1810.000,1955.015
1832.600,1955.015
1821.400,1955.015
1810.600,1955.015
1794.900,1955.015
1762.800,1955.015
1751.600,1955.015
1733.700,1955.015
1726.900,1955.015
1729.600,1955.015
1723.800,1955.015
1697.700,1955.015
1685.000,1955.015
1680.300,1955.015
1665.800,1955.015
1654.100,1955.015
1640.300,1955.015
