Profile Data, Central ROI Mean
1713.300,1937.670
1743.700,1937.670
1771.000,1937.670
1771.100,1937.670
1745.800,1937.670
1771.500,1937.670
1755.900,1937.670
1791.800,1937.670
1782.400,1937.670
1787.000,1937.670
1808.300,1937.670
1822.000,1937.670
1835.400,1937.670
1841.600,1937.670
1841.900,1937.670
1845.500,1937.670
1870.800,1937.670
1868.900,1937.670
1857.800,1937.670
1847.400,1937.670
1888.600,1937.670
1855.800,1937.670
1871.500,1937.670
1888.700,1937.670
1868.000,1937.670
1924.600,1937.670
1876.500,1937.670
1919.500,1937.670
1905.100,1937.670
1887.100,1937.670
1898.100,1937.670
1901.100,1937.670
1910.700,1937.670
1929.700,1937.670
1927.700,1937.670
1929.800,1937.670
1910.800,1937.670
1951.600,1937.670
1936.600,1937.670
1900.100,1937.670
1906.800,1937.670
1947.700,1937.670
1937.600,1937.670
1925.700,1937.670
1948.300,1937.670
1944.900,1937.670
1952.000,1937.670
1919.200,1937.670
1966.400,1937.670
1951.800,1937.670
1954.300,1937.670
1951.500,1937.670
1927.700,1937.670
1936.900,1937.670
1938.000,1937.670
1952.100,1937.670
1929.500,1937.670
1943.700,1937.670
1920.000,1937.670
1938.300,1937.670
1934.200,1937.670
1936.900,1937.670
1944.300,1937.670
1944.700,1937.670
1969.800,1937.670
1925.100,1937.670
1921.700,1937.670
1963.300,1937.670
1948.500,1937.670
1935.700,1937.670
1934.100,1937.670
1933.200,1937.670
1935.900,1937.670
1936.100,1937.670
1958.900,1937.670
1974.100,1937.670
1960.500,1937.670
1928.000,1937.670
1932.900,1937.670
1933.100,1937.670
1927.300,1937.670
1937.100,1937.670
1946.700,1937.670
1919.800,1937.670
1920.700,1937.670
1903.400,1937.670
1936.600,1937.670
1942.800,1937.670
1944.400,1937.670
1931.200,1937.670
1922.100,1937.670
1953.800,1937.670
1962.600,1937.670
1946.600,1937.670
1938.300,1937.670
1928.900,1937.670
1938.500,1937.670
1931.000,1937.670
1911.000,1937.670
1917.300,1937.670
1935.600,1937.670
1922.400,1937.670
1902.100,1937.670
1922.800,1937.670
1920.400,1937.670
1934.400,1937.670
1944.800,1937.670
1944.800,1937.670
1937.000,1937.670
1918.400,1937.670
1924.400,1937.670
1927.000,1937.670
1922.700,1937.670
1901.000,1937.670
1909.800,1937.670
1911.600,1937.670
1912.700,1937.670
1929.900,1937.670
1915.800,1937.670
1897.300,1937.670
1924.200,1937.670
1925.500,1937.670
1911.400,1937.670
1926.800,1937.670
1938.600,1937.670
1907.300,1937.670
1917.400,1937.670
1953.500,1937.670
1928.700,1937.670
1934.400,1937.670
1913.100,1937.670
1909.700,1937.670
1921.100,1937.670
1946.800,1937.670
1907.600,1937.670
1942.000,1937.670
1954.300,1937.670
1945.300,1937.670
1944.000,1937.670
1944.000,1937.670
1945.500,1937.670
1934.500,1937.670
1939.000,1937.670
1930.700,1937.670
1956.500,1937.670
1963.600,1937.670
1941.100,1937.670
1933.300,1937.670
1947.100,1937.670
1946.200,1937.670
1940.300,1937.670
1944.400,1937.670
1949.100,1937.670
1951.300,1937.670
1947.900,1937.670
1939.000,1937.670
1936.300,1937.670
1937.700,1937.670
1929.000,1937.670
1951.600,1937.670
