Profile Data, Central ROI Mean
1690.000,1935.230
1720.300,1935.230
1737.800,1935.230
1744.400,1935.230
1697.400,1935.230
1747.200,1935.230
1760.300,1935.230
1741.300,1935.230
1768.200,1935.230
1780.800,1935.230
1762.100,1935.230
1778.000,1935.230
1816.100,1935.230
1838.400,1935.230
1819.200,1935.230
1837.500,1935.230
1828.400,1935.230
1844.900,1935.230
1853.400,1935.230
1848.200,1935.230
1861.600,1935.230
1865.900,1935.230
1872.100,1935.230
1881.400,1935.230
1871.600,1935.230
1892.400,1935.230
1889.000,1935.230
1891.400,1935.230
1912.800,1935.230
1904.800,1935.230
1900.500,1935.230
1901.800,1935.230
1911.900,1935.230
1910.500,1935.230
1885.400,1935.230
1917.200,1935.230
1925.800,1935.230
1912.600,1935.230
1939.600,1935.230
1920.600,1935.230
1904.000,1935.230
1919.600,1935.230
1915.900,1935.230
1924.200,1935.230
1908.100,1935.230
1915.700,1935.230
1930.200,1935.230
1927.300,1935.230
1936.200,1935.230
1944.600,1935.230
1949.200,1935.230
1968.500,1935.230
1955.300,1935.230
1961.600,1935.230
1974.500,1935.230
1935.000,1935.230
1970.300,1935.230
1946.500,1935.230
1956.900,1935.230
1962.800,1935.230
1951.400,1935.230
1969.700,1935.230
1922.600,1935.230
1955.500,1935.230
1953.000,1935.230
1940.800,1935.230
1956.300,1935.230
1951.400,1935.230
1956.400,1935.230
1946.700,1935.230
1953.600,1935.230
1955.100,1935.230
1938.000,1935.230
1938.400,1935.230
1951.200,1935.230
1955.700,1935.230
1927.000,1935.230
1934.000,1935.230
1937.400,1935.230
1937.400,1935.230
1943.500,1935.230
1943.000,1935.230
1942.500,1935.230
1931.300,1935.230
1925.600,1935.230
1907.900,1935.230
1930.000,1935.230
1943.800,1935.230
1940.900,1935.230
1936.300,1935.230
1918.900,1935.230
1949.600,1935.230
1912.300,1935.230
1924.600,1935.230
1933.000,1935.230
1941.000,1935.230
1950.100,1935.230
1955.700,1935.230
1927.500,1935.230
1922.900,1935.230
1924.200,1935.230
1942.100,1935.230
1948.300,1935.230
1932.500,1935.230
1934.400,1935.230
1952.200,1935.230
1938.400,1935.230
1930.500,1935.230
1922.900,1935.230
1938.400,1935.230
1955.600,1935.230
1921.500,1935.230
1925.500,1935.230
1923.300,1935.230
1914.500,1935.230
1927.700,1935.230
1946.900,1935.230
1917.600,1935.230
1920.500,1935.230
1940.900,1935.230
1928.400,1935.230
1918.800,1935.230
1925.200,1935.230
1934.600,1935.230
1920.300,1935.230
1921.300,1935.230
1940.700,1935.230
1933.600,1935.230
1937.400,1935.230
1936.800,1935.230
1951.100,1935.230
1920.300,1935.230
1926.700,1935.230
1904.700,1935.230
1921.500,1935.230
1952.700,1935.230
1942.700,1935.230
1906.700,1935.230
1947.100,1935.230
1931.200,1935.230
1949.700,1935.230
1942.200,1935.230
1913.700,1935.230
1961.300,1935.230
1958.400,1935.230
1940.500,1935.230
1941.500,1935.230
1948.300,1935.230
1944.300,1935.230
1948.400,1935.230
1963.900,1935.230
1942.800,1935.230
1931.500,1935.230
1919.300,1935.230
1923.300,1935.230
1939.900,1935.230
1918.600,1935.230
1951.700,1935.230
1935.900,1935.230
1947.700,1935.230
