Profile Data, Central ROI Mean
1400.600,894.795
1395.300,894.795
1389.500,894.795
1381.500,894.795
1375.100,894.795
1367.200,894.795
1362.900,894.795
1354.100,894.795
1347.300,894.795
1337.300,894.795
1333.900,894.795
1323.700,894.795
1315.800,894.795
1304.900,894.795
1301.500,894.795
1289.600,894.795
1283.800,894.795
1269.000,894.795
1263.000,894.795
1251.800,894.795
1246.300,894.795
1234.800,894.795
1229.100,894.795
1217.100,894.795
1211.900,894.795
1198.700,894.795
1191.700,894.795
1179.600,894.795
1174.200,894.795
1163.100,894.795
1154.900,894.795
1145.700,894.795
1139.500,894.795
1125.300,894.795
1120.600,894.795
1108.700,894.795
1104.900,894.795
1098.500,894.795
1090.000,894.795
1082.200,894.795
1073.600,894.795
1065.800,894.795
1060.100,894.795
1050.300,894.795
1046.900,894.795
1040.200,894.795
1027.700,894.795
1025.300,894.795
1020.800,894.795
1011.200,894.795
1009.600,894.795
999.600,894.795
996.300,894.795
991.000,894.795
983.100,894.795
978.200,894.795
974.300,894.795
966.000,894.795
964.000,894.795
959.200,894.795
952.700,894.795
950.900,894.795
946.100,894.795
938.000,894.795
937.600,894.795
931.300,894.795
931.000,894.795
924.200,894.795
923.700,894.795
915.100,894.795
917.000,894.795
914.300,894.795
908.900,894.795
908.300,894.795
904.700,894.795
902.600,894.795
897.900,894.795
893.000,894.795
894.100,894.795
889.700,894.795
887.700,894.795
882.600,894.795
883.800,894.795
882.500,894.795
881.800,894.795
878.300,894.795
880.200,894.795
878.800,894.795
875.500,894.795
872.500,894.795
870.700,894.795
871.900,894.795
870.300,894.795
868.700,894.795
865.000,894.795
867.000,894.795
865.100,894.795
865.400,894.795
865.000,894.795
861.100,894.795
862.600,894.795
861.600,894.795
865.000,894.795
864.900,894.795
864.300,894.795
860.600,894.795
863.200,894.795
862.400,894.795
861.400,894.795
862.500,894.795
864.500,894.795
861.500,894.795
861.500,894.795
860.500,894.795
861.400,894.795
863.600,894.795
863.500,894.795
862.800,894.795
861.300,894.795
863.600,894.795
862.900,894.795
864.900,894.795
866.900,894.795
867.500,894.795
864.800,894.795
864.600,894.795
867.400,894.795
863.800,894.795
864.200,894.795
865.200,894.795
866.600,894.795
869.200,894.795
869.500,894.795
867.200,894.795
865.400,894.795
866.000,894.795
867.300,894.795
864.900,894.795
863.700,894.795
865.500,894.795
864.300,894.795
862.400,894.795
862.700,894.795
861.100,894.795
860.700,894.795
860.500,894.795
857.400,894.795
854.500,894.795
851.800,894.795
852.400,894.795
851.300,894.795
848.000,894.795
843.600,894.795
842.700,894.795
837.700,894.795
839.600,894.795
831.000,894.795
826.600,894.795
822.300,894.795
821.100,894.795
