Profile Data, Central ROI Mean
1391.700,886.612
1368.200,886.612
1361.600,886.612
1339.100,886.612
1334.000,886.612
1310.000,886.612
1307.800,886.612
1286.000,886.612
1280.400,886.612
1260.600,886.612
1256.900,886.612
1238.300,886.612
1234.500,886.612
1216.900,886.612
1211.300,886.612
1195.700,886.612
1187.900,886.612
1174.400,886.612
1169.600,886.612
1151.300,886.612
1149.000,886.612
1134.300,886.612
1124.600,886.612
1112.200,886.612
1108.800,886.612
1089.800,886.612
1089.000,886.612
1078.800,886.612
1070.900,886.612
1059.900,886.612
1052.100,886.612
1041.700,886.612
1034.600,886.612
1029.200,886.612
1022.000,886.612
1011.400,886.612
1007.000,886.612
1000.400,886.612
991.000,886.612
987.800,886.612
981.800,886.612
973.600,886.612
970.300,886.612
960.000,886.612
954.200,886.612
951.400,886.612
947.000,886.612
943.000,886.612
934.900,886.612
933.900,886.612
928.200,886.612
927.500,886.612
918.500,886.612
917.700,886.612
910.200,886.612
908.200,886.612
907.100,886.612
901.000,886.612
898.800,886.612
897.800,886.612
893.600,886.612
891.800,886.612
889.900,886.612
888.400,886.612
884.300,886.612
884.600,886.612
882.000,886.612
879.700,886.612
876.600,886.612
878.400,886.612
877.000,886.612
879.500,886.612
873.900,886.612
880.600,886.612
876.100,886.612
879.400,886.612
876.400,886.612
878.500,886.612
877.300,886.612
882.400,886.612
881.300,886.612
887.100,886.612
886.100,886.612
888.900,886.612
890.500,886.612
894.100,886.612
895.400,886.612
898.200,886.612
900.500,886.612
905.600,886.612
907.300,886.612
917.100,886.612
915.400,886.612
922.900,886.612
924.000,886.612
931.200,886.612
933.000,886.612
942.200,886.612
946.600,886.612
957.300,886.612
958.200,886.612
967.000,886.612
971.200,886.612
981.000,886.612
987.200,886.612
998.300,886.612
1001.200,886.612
1015.700,886.612
1020.900,886.612
1033.200,886.612
1041.300,886.612
1051.400,886.612
1056.900,886.612
1072.400,886.612
1083.300,886.612
1094.600,886.612
1103.700,886.612
1118.900,886.612
1129.700,886.612
1142.500,886.612
1154.800,886.612
1171.000,886.612
1179.800,886.612
1197.100,886.612
1210.400,886.612
1228.600,886.612
1241.400,886.612
1259.400,886.612
1274.100,886.612
1295.100,886.612
1312.700,886.612
1331.900,886.612
1350.700,886.612
1374.000,886.612
1389.300,886.612
1412.300,886.612
1433.600,886.612
1457.000,886.612
1477.000,886.612
1502.300,886.612
1524.000,886.612
1549.100,886.612
1575.100,886.612
1599.900,886.612
1628.100,886.612
1656.000,886.612
1682.200,886.612
1711.800,886.612
1746.200,886.612
1771.200,886.612
1805.800,886.612
1834.800,886.612
1873.200,886.612
1902.200,886.612
1944.600,886.612
1973.600,886.612
2023.300,886.612
2048.700,886.612
2097.000,886.612
2125.500,886.612
