Profile Data, Central ROI Mean
1375.500,886.612
1366.800,886.612
1363.300,886.612
1353.200,886.612
1347.900,886.612
1336.000,886.612
1332.900,886.612
1320.900,886.612
1318.100,886.612
1305.200,886.612
1302.700,886.612
1287.100,886.612
1282.000,886.612
1267.500,886.612
1263.700,886.612
1250.500,886.612
1244.800,886.612
1232.500,886.612
1229.200,886.612
1215.200,886.612
1210.500,886.612
1199.300,886.612
1190.900,886.612
1181.000,886.612
1176.100,886.612
1161.800,886.612
1156.100,886.612
1144.100,886.612
1138.700,886.612
1127.400,886.612
1124.300,886.612
1111.200,886.612
1104.800,886.612
1094.400,886.612
1089.800,886.612
1081.600,886.612
1072.400,886.612
1064.000,886.612
1061.200,886.612
1051.700,886.612
1048.100,886.612
1038.200,886.612
1031.200,886.612
1026.700,886.612
1021.300,886.612
1013.900,886.612
1009.700,886.612
998.700,886.612
997.900,886.612
986.200,886.612
985.200,886.612
979.300,886.612
972.600,886.612
965.100,886.612
964.300,886.612
956.700,886.612
956.500,886.612
948.500,886.612
945.800,886.612
939.900,886.612
935.800,886.612
934.200,886.612
933.200,886.612
926.600,886.612
922.600,886.612
918.800,886.612
917.800,886.612
911.700,886.612
910.500,886.612
905.800,886.612
903.800,886.612
902.600,886.612
900.700,886.612
895.100,886.612
892.800,886.612
893.500,886.612
889.900,886.612
886.300,886.612
886.700,886.612
882.800,886.612
882.300,886.612
879.900,886.612
876.500,886.612
875.700,886.612
874.300,886.612
873.000,886.612
872.600,886.612
871.600,886.612
872.500,886.612
869.200,886.612
867.100,886.612
865.000,886.612
865.900,886.612
863.200,886.612
865.600,886.612
866.000,886.612
862.400,886.612
862.300,886.612
862.200,886.612
863.000,886.612
861.600,886.612
863.700,886.612
865.400,886.612
864.700,886.612
860.400,886.612
865.200,886.612
864.800,886.612
863.900,886.612
862.900,886.612
866.800,886.612
865.000,886.612
863.600,886.612
866.000,886.612
864.600,886.612
864.800,886.612
865.300,886.612
864.700,886.612
864.800,886.612
864.400,886.612
866.400,886.612
867.800,886.612
870.100,886.612
871.000,886.612
870.800,886.612
870.200,886.612
869.900,886.612
869.900,886.612
870.600,886.612
870.200,886.612
870.900,886.612
871.800,886.612
872.000,886.612
870.800,886.612
868.900,886.612
869.000,886.612
871.100,886.612
870.800,886.612
870.200,886.612
868.500,886.612
866.200,886.612
866.100,886.612
866.100,886.612
865.100,886.612
862.200,886.612
861.000,886.612
860.100,886.612
855.600,886.612
852.900,886.612
853.700,886.612
851.200,886.612
848.900,886.612
845.500,886.612
844.900,886.612
840.700,886.612
834.400,886.612
828.700,886.612
828.400,886.612
821.200,886.612
817.300,886.612
811.200,886.612
