Profile Data, Central ROI Mean
1441.800,895.045
1429.900,895.045
1406.300,895.045
1403.400,895.045
1376.800,895.045
1373.200,895.045
1354.200,895.045
1346.800,895.045
1324.400,895.045
1321.500,895.045
1301.100,895.045
1295.900,895.045
1276.200,895.045
1267.200,895.045
1252.700,895.045
1245.500,895.045
1228.500,895.045
1221.700,895.045
1206.700,895.045
1199.600,895.045
1187.200,895.045
1178.900,895.045
1166.900,895.045
1156.100,895.045
1141.400,895.045
1138.500,895.045
1126.800,895.045
1118.600,895.045
1104.000,895.045
1100.400,895.045
1086.700,895.045
1083.300,895.045
1073.800,895.045
1066.400,895.045
1052.200,895.045
1050.600,895.045
1039.500,895.045
1033.300,895.045
1025.700,895.045
1019.100,895.045
1012.900,895.045
1003.400,895.045
999.300,895.045
993.100,895.045
985.200,895.045
981.900,895.045
974.000,895.045
969.900,895.045
963.500,895.045
958.800,895.045
953.600,895.045
949.700,895.045
942.200,895.045
938.500,895.045
932.100,895.045
930.700,895.045
926.500,895.045
922.000,895.045
916.300,895.045
915.600,895.045
913.100,895.045
907.100,895.045
907.300,895.045
899.500,895.045
899.700,895.045
897.900,895.045
897.700,895.045
894.400,895.045
894.800,895.045
890.100,895.045
893.400,895.045
887.800,895.045
887.300,895.045
885.300,895.045
886.800,895.045
885.800,895.045
889.700,895.045
883.900,895.045
888.000,895.045
886.300,895.045
889.100,895.045
887.800,895.045
888.200,895.045
889.000,895.045
893.300,895.045
895.500,895.045
897.700,895.045
898.900,895.045
903.500,895.045
904.100,895.045
907.400,895.045
911.300,895.045
916.400,895.045
915.700,895.045
921.200,895.045
922.900,895.045
929.000,895.045
931.200,895.045
940.000,895.045
941.800,895.045
950.200,895.045
951.900,895.045
963.200,895.045
964.500,895.045
975.900,895.045
977.600,895.045
991.900,895.045
994.600,895.045
1001.100,895.045
1008.300,895.045
1020.600,895.045
1027.000,895.045
1038.900,895.045
1040.900,895.045
1056.900,895.045
1066.600,895.045
1081.500,895.045
1085.100,895.045
1101.000,895.045
1108.400,895.045
1123.700,895.045
1131.900,895.045
1148.600,895.045
1157.900,895.045
1176.200,895.045
1184.800,895.045
1200.200,895.045
1214.800,895.045
1229.900,895.045
1242.800,895.045
1265.100,895.045
1277.000,895.045
1298.300,895.045
1314.900,895.045
1336.000,895.045
1350.800,895.045
1373.500,895.045
1391.500,895.045
1415.000,895.045
1432.700,895.045
1458.200,895.045
1480.600,895.045
1504.700,895.045
1525.000,895.045
1553.200,895.045
1575.500,895.045
1598.600,895.045
1624.600,895.045
1651.500,895.045
1678.800,895.045
1709.600,895.045
1739.500,895.045
1773.000,895.045
1802.800,895.045
1829.700,895.045
1866.300,895.045
1900.500,895.045
1938.600,895.045
1971.100,895.045
2010.000,895.045
